timeindex,acaes_SN,hydrogen_SN,li-ion_SN,phs_SN,redox_SN,tes_SN
2050-01-01 00:00:00+00:00,0.0,47920.065,0.0,161.43594,0.0,63397.846
2050-01-01 01:00:00+00:00,0.0,48189.365,0.0,138.56406,0.0,64297.846
2050-01-01 02:00:00+00:00,0.0,48458.664,0.0,0.0,0.0,65197.846
2050-01-01 03:00:00+00:00,0.0,48727.964,0.0,0.0,0.0,66097.846
2050-01-01 04:00:00+00:00,0.0,48997.263,0.0,0.0,0.0,66997.846
2050-01-01 05:00:00+00:00,0.0,49266.563,0.0,0.0,0.0,67014.76
2050-01-01 06:00:00+00:00,0.0,49535.862,0.0,0.0,0.0,65903.648
2050-01-01 07:00:00+00:00,0.0,49805.161,0.0,0.0,0.0,65012.523
2050-01-01 08:00:00+00:00,0.0,50074.461,0.0,0.0,0.0,64303.527
2050-01-01 09:00:00+00:00,0.0,50343.76,0.0,0.0,0.0,63835.575
2050-01-01 10:00:00+00:00,0.0,50613.06,0.0,0.0,0.0,63684.332
2050-01-01 11:00:00+00:00,0.0,50882.359,0.0,0.0,0.0,63727.289
2050-01-01 12:00:00+00:00,0.0,51151.659,0.0,0.0,0.0,63921.918
2050-01-01 13:00:00+00:00,0.0,51420.958,0.0,0.0,0.0,64220.091
2050-01-01 14:00:00+00:00,0.0,51690.258,0.0,0.0,0.0,64512.106
2050-01-01 15:00:00+00:00,0.0,51959.557,0.0,11.779937,0.0,64765.073
2050-01-01 16:00:00+00:00,0.0,52228.857,0.0,40.155352,0.0,64760.473
2050-01-01 17:00:00+00:00,0.0,52498.156,0.0,68.596896,0.0,64564.008
2050-01-01 18:00:00+00:00,0.0,52767.456,0.0,97.104569,0.0,64354.783
2050-01-01 19:00:00+00:00,0.0,53036.755,0.0,125.67837,0.0,64234.336
2050-01-01 20:00:00+00:00,0.0,53306.055,0.0,154.3183,0.0,64322.876
2050-01-01 21:00:00+00:00,0.0,53575.354,0.0,183.02437,0.0,64918.8
2050-01-01 22:00:00+00:00,0.0,53844.654,0.0,211.79656,0.0,65818.8
2050-01-01 23:00:00+00:00,0.0,54113.953,0.0,240.63488,0.0,66718.8
2050-01-02 00:00:00+00:00,0.0,54383.253,0.0,269.53933,0.0,67618.8
2050-01-02 01:00:00+00:00,305.14299,54652.552,722.10508,298.53976,0.0,68518.8
2050-01-02 02:00:00+00:00,610.28598,54921.852,1472.6527,327.63616,0.0,69418.8
2050-01-02 03:00:00+00:00,915.42897,55191.151,2223.2003,356.82854,41.590864,70318.8
2050-01-02 04:00:00+00:00,1220.572,55460.45,2973.748,386.1169,82.083757,71218.8
2050-01-02 05:00:00+00:00,1525.715,55729.75,3310.9896,415.50123,111.85914,71210.206
2050-01-02 06:00:00+00:00,1649.6815,55999.049,3867.71,444.98155,111.85914,70344.174
2050-01-02 07:00:00+00:00,1649.6815,56268.349,4135.8363,474.55784,111.85914,69924.119
2050-01-02 08:00:00+00:00,1649.6815,56537.648,4135.8363,450.19901,111.85914,69609.518
2050-01-02 09:00:00+00:00,1649.6815,56806.948,4139.2284,479.96726,111.85914,69547.402
2050-01-02 10:00:00+00:00,1889.714,57076.247,4139.2284,509.83148,111.85914,69722.93
2050-01-02 11:00:00+00:00,1889.714,57345.547,4750.4961,539.79167,111.85914,70040.015
2050-01-02 12:00:00+00:00,2194.857,57614.846,5026.2982,569.84785,153.45,70506.29
2050-01-02 13:00:00+00:00,2500.0,57884.146,5086.25,600.0,153.45,71036.997
2050-01-02 14:00:00+00:00,2500.0,58096.494,5086.25,600.0,153.45,71495.135
2050-01-02 15:00:00+00:00,2500.0,58294.251,5086.25,569.55992,153.45,71852.525
2050-01-02 16:00:00+00:00,2500.0,58322.964,5086.25,600.0,153.45,72000.0
2050-01-02 17:00:00+00:00,2500.0,57737.531,5086.25,600.0,153.45,71869.506
2050-01-02 18:00:00+00:00,2500.0,57152.097,5086.25,569.27199,153.45,70758.394
2050-01-02 19:00:00+00:00,2500.0,56566.663,5086.25,600.0,153.45,69647.283
2050-01-02 20:00:00+00:00,2319.3076,55981.23,5086.25,569.08003,153.45,68536.172
2050-01-02 21:00:00+00:00,2319.3076,55395.796,4504.2764,600.0,153.45,67425.061
2050-01-02 22:00:00+00:00,2319.3076,54810.363,4007.4664,492.45188,153.45,66313.95
2050-01-02 23:00:00+00:00,1901.3035,54224.929,3803.0409,523.5638,153.45,65202.839
2050-01-03 00:00:00+00:00,1483.2994,53639.495,3686.0508,416.20764,103.97716,64091.728
2050-01-03 01:00:00+00:00,1141.4123,53054.062,3216.0894,396.00626,103.97716,62980.617
2050-01-03 02:00:00+00:00,979.04357,52468.628,2400.2767,427.43521,103.97716,61869.506
2050-01-03 03:00:00+00:00,561.03947,51883.194,1783.1283,320.41062,51.98858,60758.394
2050-01-03 04:00:00+00:00,143.03537,51297.761,967.31568,213.49655,0.0,59647.283
2050-01-03 05:00:00+00:00,143.03537,50712.327,151.50303,106.69301,0.0,58536.172
2050-01-03 06:00:00+00:00,0.0,50126.893,151.50303,0.0,0.0,57425.061
2050-01-03 07:00:00+00:00,0.0,49541.46,0.0,0.0,0.0,56313.95
2050-01-03 08:00:00+00:00,0.0,48956.026,0.0,32.0921,0.0,55202.839
2050-01-03 09:00:00+00:00,0.0,48370.592,0.0,0.0,0.0,54091.728
2050-01-03 10:00:00+00:00,0.0,47785.159,0.0,0.0,0.0,52980.617
2050-01-03 11:00:00+00:00,0.0,47199.725,0.0,32.423676,0.0,51869.506
