timeindex,acaes_SN,hydrogen_SN,li-ion_SN,phs_SN,redox_SN,tes_SN
2050-01-03 12:00:00+00:00,0.0,0.0,1359.9558,161.56575,0.0,15241.055
2050-01-03 13:00:00+00:00,0.0,0.0,1359.9558,194.21048,0.0,15143.477
2050-01-03 14:00:00+00:00,0.0,0.0,1359.9558,226.96573,0.0,15117.079
2050-01-03 15:00:00+00:00,0.0,0.0,1359.9558,259.83151,0.0,14981.27
2050-01-03 16:00:00+00:00,0.0,0.0,1359.9558,292.80781,0.0,14588.978
2050-01-03 17:00:00+00:00,0.0,0.0,1359.9558,325.89464,0.0,14083.815
2050-01-03 18:00:00+00:00,0.0,0.0,1359.9558,359.09199,0.0,13572.444
2050-01-03 19:00:00+00:00,0.0,0.0,1359.9558,392.39987,0.0,13061.072
2050-01-03 20:00:00+00:00,0.0,0.0,1359.9558,425.81827,0.0,12549.701
2050-01-03 21:00:00+00:00,0.0,0.0,1359.9558,459.3472,0.0,12363.694
2050-01-03 22:00:00+00:00,0.0,0.0,1135.6465,354.42258,0.0,12777.905
2050-01-03 23:00:00+00:00,0.0,0.0,392.86927,249.6085,0.0,13192.115
2050-01-04 00:00:00+00:00,0.0,0.0,0.0,144.90494,0.0,13606.326
2050-01-04 01:00:00+00:00,0.0,0.0,0.0,41.200856,0.0,14020.537
2050-01-04 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,14205.566
2050-01-04 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,14083.077
2050-01-04 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,14083.077
2050-01-04 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,14074.495
2050-01-04 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,13563.124
2050-01-04 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,13051.753
2050-01-04 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,12540.381
2050-01-04 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,12029.01
2050-01-04 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,11517.639
2050-01-04 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,11006.268
2050-01-04 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,10494.897
2050-01-04 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,9983.5259
2050-01-04 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,9472.1548
2050-01-04 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8960.7837
2050-01-04 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8449.4126
2050-01-04 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7938.0415
2050-01-04 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7426.6704
2050-01-04 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6915.2993
2050-01-04 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6403.9282
2050-01-04 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6281.6209
2050-01-04 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6695.8315
2050-01-04 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7110.0421
2050-01-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7524.2527
2050-01-05 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7938.4633
2050-01-05 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8352.6739
2050-01-05 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8766.8845
2050-01-05 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,9181.0951
2050-01-05 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8669.724
2050-01-05 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8158.3529
2050-01-05 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7646.9818
2050-01-05 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7135.6106
2050-01-05 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6624.2395
2050-01-05 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6112.8684
2050-01-05 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,5601.4973
2050-01-05 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,5090.1262
2050-01-05 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4578.7551
2050-01-05 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,4067.384
2050-01-05 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3556.0129
2050-01-05 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3044.6418
2050-01-05 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2533.2707
2050-01-05 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2021.8996
2050-01-05 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1510.5285
2050-01-05 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,999.1574
2050-01-05 21:00:00+00:00,0.0,0.0,0.0,40.112386,0.0,487.78629
2050-01-05 22:00:00+00:00,0.0,0.0,0.0,82.019165,0.0,901.99689
2050-01-05 23:00:00+00:00,0.0,0.0,0.0,124.14035,0.0,1316.2075
